time,news_id,account_id
0,0,-1
1,0,5
1,0,22
1,0,34
1,0,47
1,0,49
1,0,50
1,0,57
1,0,61
1,0,62
1,0,63
1,0,82
1,0,85
1,0,90
1,0,97
1,0,108
1,0,117
1,0,123
1,0,125
1,0,129
1,0,131
1,0,132
1,0,140
1,0,146
2,0,0
2,0,4
2,0,15
2,0,18
2,0,20
2,0,28
2,0,29
2,0,38
2,0,43
2,0,44
2,0,45
2,0,46
2,0,53
2,0,95
2,0,96
2,0,100
2,0,103
2,0,105
2,0,116
2,0,119
2,0,120
2,0,139
2,0,142
2,0,143
3,0,6
3,0,19
3,0,21
3,0,77
3,0,94
3,0,133
4,0,7
4,0,13
4,0,17
4,0,58
4,0,66
4,0,73
4,0,99
4,0,110
5,0,70
6,0,33
6,0,-1
